id,jobId,category,numVulnerabilities,numLibVulns,libraryPercentage
1549,1984,Cryptography,13,13,50
1550,840,Cryptography,2,0,0
1551,3503,Cryptography,2,2,50
1552,3570,Cryptography,16,0,0
1553,3222,Cryptography,10,0,0
1554,1863,Cryptography,9,8,47.0588226318359
1555,2740,Cryptography,28,8,22.2222232818604
1556,3401,Cryptography,265,211,44.3277282714844
1557,3555,Cryptography,18,2,10
1558,3033,Cryptography,10,0,0
1559,1663,Cryptography,8,7,46.6666679382324
1560,4102,Cryptography,105,38,26.5734252929688
1561,2698,Cryptography,1,0,0
1562,3380,Cryptography,1,0,0
1563,3578,Cryptography,53,10,15.8730163574219
1564,2824,Cryptography,19,12,38.7096748352051
1565,3510,Cryptography,65,28,30.1075286865234
1566,3241,Cryptography,1,0,0
1567,1210,Cryptography,10,0,0
1568,2148,Cryptography,13,13,50
1569,1339,Cryptography,15,0,0
1570,3785,Cryptography,3,2,40
1571,4185,Cryptography,89,35,28.2258071899414
1572,2548,Cryptography,18,13,41.9354820251465
1573,3778,Cryptography,35,32,47.7611923217773
1574,4117,Cryptography,144,116,44.6153831481934
1575,2037,Cryptography,20,8,28.5714302062988
1576,2828,Cryptography,19,16,45.7142868041992
1577,2051,Cryptography,6,1,14.2857151031494
1578,2241,Cryptography,13,13,50
1579,2592,Cryptography,61,15,19.7368431091309
1580,2021,Cryptography,7,1,12.5
1581,3491,Cryptography,179,170,48.7106018066406
1582,4066,Cryptography,150,57,27.5362319946289
1583,2355,Cryptography,13,3,18.75
1584,2650,Cryptography,8,8,50
1585,1704,Cryptography,7,7,50
1586,2628,Cryptography,10,9,47.3684234619141
1587,2115,Cryptography,13,12,48
1588,1561,Cryptography,10,2,16.6666679382324
1589,2458,Cryptography,71,13,15.4761905670166
1590,1246,Cryptography,14,0,0
1591,3153,Cryptography,21,10,32.2580642700195
1592,3254,Cryptography,10,7,41.1764717102051
1593,3468,Cryptography,207,155,42.8176803588867
1594,2077,Cryptography,2,2,50
1595,2591,Cryptography,15,10,40
1596,3734,Cryptography,126,85,40.2843589782715
1597,3864,Cryptography,158,78,33.0508460998535
1598,2746,Cryptography,16,12,42.8571434020996
1599,1138,Cryptography,5,0,0
1600,3856,Cryptography,30,21,41.1764717102051
1601,2110,Cryptography,5,0,0
1602,2857,Cryptography,11,8,42.1052627563477
1603,2877,Cryptography,28,10,26.3157901763916
1604,2747,Cryptography,7,7,50
1605,2136,Cryptography,19,16,45.7142868041992
1606,4176,Cryptography,69,27,28.125
1607,2969,Cryptography,39,16,29.0909080505371
1608,3166,Cryptography,51,15,22.72727394104
